,word,Frequency
0,#recipe,10
1,#foodie,12
2,#indiancuisine,8
3,#streetfood,17
4,#mumbaifoodie,8
5,#shawarma,2
6,#shawarmalovers,2
7,#shawarmas,2
8,#paneer,3
9,#paneerrecipes,2
10,#paneerlove,2
11,#sanjyotkeer,10
12,#yourfoodlab,8
13,#HotFind,2
14,#Rolls,4
15,#foodtalkindia,15
16,#foodtalk,9
17,#fti,2
18,#food,8
19,#foodies,5
20,#rolls,4
21,#kathiroll,2
22,#wraps,4
23,#frankie,4
24,#kebab,4
25,#mumbaifoodies,2
26,#foodporn,19
27,#goodfood,4
28,#delicious,5
29,#yummy,4
30,#chickenroll,2
31,#NewInTown,4
32,#drinks,2
33,#whiskey,2
34,#whisky,2
35,#alcohol,2
36,#whiskeylover,2
37,#cocktails,2
38,#whiskeysour,2
39,#foodiesofinstagram,9
40,#drinking,2
41,#LetsTalk,2
42,#kathirolls,2
43,#letstalk,2
44,#foodinsta,2
45,#landuree,2
46,#newintown,2
47,#delhi,18
48,#delhifoodie,10
49,#bakery,2
50,#macrons,2
51,#pastry,2
52,#cookies,2
53,#luxurylifestyle,2
54,#RecentWork,6
55,#JohnnieWalker,6
56,#JohnnieWalkerGoldLabel,6
57,#JohnnieWalkerIndia,6
58,#DrinkResponsibly,6
59,#samosa,2
60,#samosalover,2
61,#foodstylist,2
62,#monsoon,2
63,#monsoonseason,2
64,#mood,2
65,#foodpic,2
66,#onionsamosa,2
67,#instafood,2
68,#instagram,1
69,#resturant,3
70,#kofta,3
71,#malaikofta,3
72,#streetfoodindia,9
73,#indianfood,13
74,#mumbai,6
75,#homemade,6
76,#MaaKiDal,1
77,#dal,1
78,#promo,2
79,#promovideo,2
80,#homemadefood,1
81,#foodpics,1
82,#foodlover,5
83,#YFL,1
84,#YourFoodLab,1
85,#ChefSanjyotKeer,1
86,#HealthyRecipes,1
87,#home,1
88,#mumbaistreetfood,5
89,#nutrikulcha,2
90,#delhistreetfood,6
91,#streetstyle,2
92,#restuarant,1
93,#restuarantstyle,1
94,#dilsefoodie,10
95,#dilsecouple,10
96,#Sarafabazar,1
97,#foodieincarnate,8
98,#sodelhi,7
99,#newdelhi,5
100,#delhigram,6
101,#delhifoodblogger,16
102,#foodgasm,4
103,#foodpornshare,4
104,#foodgram,4
105,#indianstreetfood,4
106,#foodblogger,16
107,#indianfoodie,14
108,#desikhana,5
109,#indianfoodblogger,5
110,#indianfoodbloggers,5
111,#delhifood,5
112,#golgappa,1
113,#nagpur,4
114,#reelitfeelit,3
115,#reelkarofeelkaro,3
116,#reelsinstagram,4
117,#reels,5
118,#poha,1
119,#doublemeaning,1
120,#amarsirohi,1
121,#aahma,1
122,#delhifoodbloggers,2
123,#delhibloggers,1
124,#jimcorbett,1
125,#nainital,1
126,#staycation,3
127,#weekendgetaway,1
128,#staycations,2
129,#foodbloggers,1
130,#lifestyleblogger,9
131,#sunkissed,1
132,#delhiblogger,1
133,#mumbaiblogger,1
134,#kolkatablogger,2
135,#chai,3
136,#tea,2
137,#chailove,1
138,#uttarakhand,1
139,#travelfood,1
140,#vacation,1
